"article","link","contributors","about","year","cited","addonlinks","year"
"Ensemble learners for identification of spoken languages using mel frequency cepstral coefficients","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:J_g5lzvAfSwC","DS Sisodia, S Nikhil, GS Kiran, P Sathvik","2nd International Conference on Data, Engineering and Applications (IDEA), 1-5",", 2020","10","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11764445108834137429","2020"
"Model-based collaborative filtering for recommender systems: An empirical survey","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:GnPB-g6toBAC","A Pujahari, DS Sisodia","2020 First International Conference on Power, Control and Computing …",", 2020","10","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16115605717131284468","2020"
"The Impact of Data Re-Sampling on Learning Performance of Class Imbalanced Bankruptcy Prediction Models","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:qUcmZB5y_30C","DS Sisodia, U Verma","International Journal on Electrical Engineering and Informatics 10 (3), 433-446",", 2018","10","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7349154540125467730","2018"
"A discounted fuzzy relational clustering of web users’ using intuitive augmented sessions dissimilarity metric","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:YsMSGLbcyi4C","DS Sisodia, S Verma, OP Vyas","IEEE Access 4, 6883-6893",", 2016","10","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12230835445468979722","2016"
"Evolutionary based optimal ensemble classifiers for HIV-1 protease cleavage sites prediction","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:_kc_bZDykSQC","D Singh, P Singh, DS Sisodia","Expert Systems with Applications 109, 86-99",", 2018","9","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5946760417383421590","2018"
"Sentiment analysis of prospective buyers of mega online sale using tweets","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:qxL8FJ1GzNcC","DS Sisodia, NR Reddy","2017 IEEE International Conference on Power, Control, Signals and …",", 2017","9","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17003760141475384963","2017"
"A conglomerate technique for finger print recognition using phone camera captured images","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:4TOpqqG69KYC","DS Sisodia, T Vandana, M Choudhary","2017 IEEE International Conference on Power, Control, Signals and …",", 2017","9","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=948206939399670599","2017"
"Item feature refinement using matrix factorization and boosted learning based user profile generation for content-based recommender systems","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:b0M2c_1WBrUC","A Pujahari, DS Sisodia","Expert Systems with Applications 206, 117849",", 2022","8","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6232580413334045038","2022"
"A novel discriminant feature selection–based mutual information extraction from MR brain images for Alzheimer's stages detection and prediction","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:u_35RYKgDlwC","VG Shankar, DS Sisodia, P Chandrakar","International Journal of Imaging Systems and Technology 32 (4), 1172-1191",", 2022","8","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1667332500815848270","2022"
"Deep transfer learning model for automated screening of cervical cancer cells using multi-cell images","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:vV6vV6tmYwMC","V Khobragade, N Jain, DS Sisodia","Applied Informatics: Third International Conference, ICAI 2020, Ota, Nigeria …",", 2020","8","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3324571146488443150","2020"
"Quantitative evaluation of Web user session dissimilarity measures using medoids based relational fuzzy clustering","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:Y0pCki6q_DkC","DS Sisodia, S Verma, OP Vyas","Indian Journal of Science and Technology 9 (28), 1-9",", 2016","8","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13954597345461463627","2016"
"Performance evaluation of an augmented session dissimilarity matrix of web user sessions using relational fuzzy C-means clustering","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:IjCSPb-OGe4C","DS Sisodia, S Verma, OP Vyas","International Journal of Applied Engineering and Research 11 (9), 6497-6503",", 2016","8","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6315213648154412704","2016"
"Evolutionary based ensemble framework for realizing transfer learning in HIV-1 Protease cleavage sites prediction","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:ZeXyd9-uunAC","D Singh, P Singh, DS Sisodia","Applied Intelligence 49, 1260-1282",", 2019","7","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7078213530379209830","2019"
"Distinct multiple learner-based ensemble smotebagging (ML-ESB) method for classification of binary class imbalance problems","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:_Qo2XoVZTnwC","DS Sisodia, U Verma","International Journal of Technology 10 (4), 721-730",", 2019","7","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5650798349828045590","2019"
"Feature space transformation of user-clicks and deep transfer learning framework for fraudulent publisher detection in online advertising","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:EUQCXRtRnyEC","D Sisodia, DS Sisodia","Applied Soft Computing 125, 109142",", 2022","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13700986947268037961","2022"
