"article","link","contributors","about","year","cited","addonlinks","year"
"Evolutionary based optimal ensemble classifiers for HIV-1 protease cleavage sites prediction","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:W5xh706n7nkC","D Singh, P Singh, DS Sisodia","Expert Systems with Applications 109, 86-99",", 2018","9","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5946760417383421590","2018"
"Opcode n-gram based Malware Classification in Android","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:hCrLmN-GePgC","V Sihag, A Mitharwal, M Vardhan, P Singh","2020 Fourth World Conference on Smart Trends in Systems, Security and …",", 2020","8","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10477520411478573048","2020"
"Hybrid TLBO-GSA strategy for constrained and unconstrained engineering optimization functions","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:ILKRHgRFtOwC","AK Shukla, P Singh, M Vardhan","Hybrid Metaheuristics Res Appl 84, 41",", 2018","8","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7792142772369592923","2018"
"Software fault prediction at design phase","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:b0M2c_1WBrUC","P Singh, S Verma, OP Vyas","Journal of Electrical Engineering and Technology 9 (5), 1739-1745",", 2014","8","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14465592055982902948","2014"
"An Agile Methodology Based Model for Change-Oriented Software Engineering","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:f2IySw72cVMC","NK Nagwani, P Singh","International Journal of Recent Trends in Engineering 1 (1), 128",", 2009","8","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17665685274416581237","2009"
"Empirical investigation of hyperparameter optimization for software defect count prediction","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:0izLItjtcgwC","M Nevendra, P Singh","Expert Systems with Applications 191, 116217",", 2022","7","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13387624160189344398","2022"
"Software bug count prediction via AdaBoost. R-ET","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:e_rmSamDkqQC","M Nevendra, P Singh","2019 IEEE 9th International Conference on Advanced Computing (IACC), 7-12",", 2019","7","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3551833443916941010","2019"
"Evolutionary based ensemble framework for realizing transfer learning in HIV-1 Protease cleavage sites prediction","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:g3aElNc5_aQC","D Singh, P Singh, DS Sisodia","Applied Intelligence 49 (4), 1260-1282",", 2019","7","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7078213530379209830","2019"
"An Assistive Tool For Fileless Malware Detection","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:9pM33mqn1YgC","P Borana, V Sihag, G Choudhary, M Vardhan, P Singh","2021 World Automation Congress (WAC), 21-25",", 2021","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16807933632619221606","2021"
"Text Imbalance Handling and Classification for Cross-platform Cyber-crime Detection using Deep Learning","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:Ug5p-4gJ2f0C","MS Nikhila, A Bhalla, P Singh","2020 11th International Conference on Computing, Communication and …",", 2020","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16217168670130753977","2020"
