"article","link","contributors","about","year","cited","addonlinks","year"
"Multi-label software bug categorisation based on fuzzy similarity","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:xtRiw3GOFMkC","RR Panda, NK Nagwani","International Journal of Computational Science and Engineering 24 (3), 244-258",", 2021","8","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16098062909241824034","2021"
"Folksonomy based trend analysis on community question answering sites: A perspective on software technologies","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:e5wmG9Sq2KIC","AK Singh, D Sena, NK Nagwani, S Pandey","IEEE Access 4, 5223-5233",", 2016","8","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9541381369559118319","2016"
"An empirical analysis on reducing open source software development tasks using stack overflow","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:ZHo1McVdvXMC","TP Sahu, NK Nagwani, S Verma","Indian Journal of Science and Technology 9 (21), 10.17485",", 2016","8","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12237918447490561881","2016"
"An agile methodology based model for change-oriented software engineering","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:UebtZRa9Y70C","NK Nagwani, P Singh","International Journal of Recent Trends in Engineering 1 (1), 128",", 2009","8","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17665685274416581237","2009"
"Classification and intuitionistic fuzzy set based software bug triaging techniques","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:q3oQSFYPqjQC","RR Panda, NK Nagwani","Journal of King Saud University-Computer and Information Sciences 34 (8 …",", 2022","7","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14385585030528903646","2022"
"Prof. NK Nagwani, Lopamudra dey,“","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:8AbLer7MMksC","S Chakraborty","Weather Forecasting using Incremental K-means Clustering”, International …",", 2012","7","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12121929138503220455","2012"
"Analysis and design of high performance deep learning algorithm: convolutional neural networks","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:fQNAKQ3IYiAC","S Pandey, NK Nagwani, S Verma","International Journal of Engineering Trends and Technology 69 (6), 216-224",", 2021","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13414322154594825524","2021"
"Time series analysis using ARIMA model for air pollution prediction in Hyderabad city of India","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:b0M2c_1WBrUC","P Gopu, RR Panda, NK Nagwani","Soft Computing and Signal Processing: Proceedings of 3rd ICSCSP 2020, Volume …",", 2021","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11207099530345631322","2021"
"Predicting bug estimation time for newly reported bug using machine learning algorithms","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:4OULZ7Gr8RgC","R Sawarkar, NK Nagwani, S Kumar","2019 IEEE 5th International Conference for Convergence in Technology (I2CT), 1-4",", 2019","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=781251981733294088","2019"
"Identifying categorical terms based on latent Dirichlet allocation for email categorization","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:BqipwSGYUEgC","A Sharaff, NK Nagwani","Emerging Technologies in Data Mining and Information Security: Proceedings …",", 2019","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3930724021635879701","2019"
"A parametric study of partitioning and density based clustering techniques for Boxplot generation","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:ldfaerwXgEUC","K Patil, NK Nagwani, S Tripathi","2018 3rd International Conference for Convergence in Technology (I2CT), 1-5",", 2018","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12867882903888444884","2018"
"Impact of discretization on classification of data using divide and conquer paradigm","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:mB3voiENLucC","M Sahu, S Sharma, V Raj, NK Nagwani, S Verma","2016 International Conference on Electrical, Electronics, and Optimization …",", 2016","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5121442942736225856","2016"
"Clustering homogeneous XML documents using weighted similarities on XML attributes","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:W7OEmFMy1HYC","NK Nagwani, A Bhansali","2010 IEEE 2nd International Advance Computing Conference (IACC), 369-372",", 2010","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=637132057971968418","2010"
"Topic modeling and intuitionistic fuzzy set-based approach for efficient software bug triaging","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:olpn-zPbct0C","RR Panda, NK Nagwani","Knowledge and Information Systems 64 (11), 3081-3111",", 2022","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4062014055360915071","2022"
"Automatic question tagging using multi-label classification in community question answering sites","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:SeFeTyx0c_EC","TP Sahu, RS Thummalapudi, NK Nagwani","2019 6th IEEE International Conference on Cyber Security and Cloud Computing …",", 2019","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15166043625682645208","2019"
"Topical authoritative answerer identification on q&a posts using supervised learning in cqa sites","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:r0BpntZqJG4C","TP Sahu, NK Nagwani, S Verma","Proceedings of the 9th Annual ACM India Conference, 129-132",", 2016","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17174650504082343636","2016"
"A time-series forecasting-based prediction model to estimate groundwater levels in India","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:j3f4tGmQtD8C","D Sena, NK Nagwani","Current Science, 1083-1090",", 2016","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4360726284619146750","2016"
"Emerging research in computing, information, communication and applications","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:geHnlv5EZngC","A Sharaff, NK Nagwani, A Dhadse","Comparative Study of Classification Algorithms for Spam Email Detection",", 2016","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16094447158802108083","2016"
"ML-CLUBAS: A multi label bug classification algorithm","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:_FxGoFyzp5QC","NK Nagwani, S Verma","Scientific Research Publishing",", 2012","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15578993734897984555","2012"
"Nagwani. NK, Verma Shrish., Shirke. Saransh. 2015","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:BrmTIyaxlBUC","M Sahu","Performance Evaluation of Different Classifier for Eye State Prediction …",", 0","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18270436094651023228",""
"A framework to detect DDoS attack in Ryu controller based software defined networks using feature extraction and classification","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:J-pR_7NvFogC","RK Chouhan, M Atulkar, NK Nagwani","Applied Intelligence 53 (4), 4268-4288",", 2023","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14961309502699987578","2023"
"An optimized recommendation framework exploiting textual review based opinion mining for generating pleasantly surprising, novel yet relevant recommendations","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:V3AGJWp-ZtQC","R Shrivastava, DS Sisodia, NK Nagwani, UR BP","Pattern Recognition Letters 159, 91-99",", 2022","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6532849997412521273","2022"
"Long short term memory based functional characterization model for unknown protein sequences using ensemble of shallow and deep features","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:l7t_Zn2s7bgC","S Agrawal, DS Sisodia, NK Nagwani","Neural Computing and Applications, 1-11",", 2022","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2999180795147438126","2022"
"Exploring the effectiveness of word embedding based deep learning model for improving email classification","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:tS2w5q8j5-wC","DS Asudani, NK Nagwani, P Singh","Data Technologies and Applications",", 2022","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1498978121967721012","2022"
"Biomedical text summarization: a graph-based ranking approach","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:1sJd4Hv_s6UC","S Gupta, A Sharaff, NK Nagwani","Applied Information Processing Systems: Proceedings of ICCET 2021, 147-156",", 2022","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6785876815031411003","2022"
"Global best guided crow search algorithm for optimization problems","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:D03iK_w7-QYC","R Roy, TP Sahu, NK Nagwani, S Das","Intelligent Algorithms for Analysis and Control of Dynamical Systems, 13-22",", 2021","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5282868146224853873","2021"
"EEG signal analysis and classification on P300 speller-based BCI performance in ALS patients","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:dfsIfKJdRG4C","M Sahu, S Verma, NK Nagwani, S Shukla","International Journal of Medical Engineering and Informatics 12 (4), 375-400",", 2020","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13026862018137589405","2020"
"Applying auto regression techniques on amyotrophic lateral sclerosis patients EEG dataset with P300 speller","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:k_IJM867U9cC","M Sahu, N Nagwani, S Verma","Indian Journal of Science and Technology 9 (48), 1-8",", 2016","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10601709058612515229","2016"
"Impact of Ranked Ordered Feature List (ROFL) on classification with visual data mining techniques","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:iH-uZ7U-co4C","M Sahu, S Sharma, V Raj, NK Nagwani, S Verma","2016 International Conference on Electrical, Electronics, and Optimization …",", 2016","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6697280063313724158","2016"
"A frequent term based approach for generating discriminative terms in software bug repositories","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&cstart=20&pagesize=80&citation_for_view=9_TJhGEAAAAJ:LPZeul_q3PIC","NK Nagwani, S Verma","IEEE 1st International Conference on Recent Advances in Information …",", 2012","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13282769172029373254","2012"
