"article","link","contributors","about","year","cited","addonlinks","year"
"An improved certificateless generalized signcryption scheme","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&cstart=20&pagesize=80&citation_for_view=kWDOTCUAAAAJ:9yKSN-GCB0IC","JK Rout","","","2","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16663536508828515075","2013"
"Detection of credit card fraud by applying genetic algorithm and particle swarm optimization","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&cstart=20&pagesize=80&citation_for_view=kWDOTCUAAAAJ:7PzlFSSx8tAC","D Prusti, JK Rout, SK Rath","Machine Learning, Image Processing, Network Security and Data Sciences …",", 2023","1","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3351526797006318541","2023"
"Classification of News Articles with Relational Multi Attributes using Machine Learning","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&cstart=20&pagesize=80&citation_for_view=kWDOTCUAAAAJ:HDshCWvjkbEC","CB Thaokar, JK Rout, M Rout","2021 19th OITS International Conference on Information Technology (OCIT …",", 2021","1","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10901079954480629810","2021"
"Implementation of a Malware Scanner using Signature-Based Approach for Android Applications","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&cstart=20&pagesize=80&citation_for_view=kWDOTCUAAAAJ:hFOr9nPyWt4C","PR Pardhi, JK Rout, NK Ray","2021 19th OITS International Conference on Information Technology (OCIT), 14-19",", 2021","1","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7135739383862104184","2021"
"Analysis and Prediction of Cardiovascular Disease Using Machine Learning Techniques","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&cstart=20&pagesize=80&citation_for_view=kWDOTCUAAAAJ:_kc_bZDykSQC","BK Mengiste, HK Tripathy, JK Rout","International Conference on Emerging Trends and Advances in Electrical …",", 2020","1","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8679445333506514566","2020"
"Correction to: Nature Inspired Computing for Data Science","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&cstart=20&pagesize=80&citation_for_view=kWDOTCUAAAAJ:0EnyYjriUFMC","M Rout, JK Rout, H Das","Nature Inspired Computing for Data Science, C1-C1",", 2020","1","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3706640252818461995","2020"
"A hybrid learning method for distinguishing lung adenocarcinoma and squamous cell carcinoma","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&cstart=20&pagesize=80&citation_for_view=kWDOTCUAAAAJ:maZDTaKrznsC","AK Swain, A Swetapadma, JK Rout, BK Balabantaray","Data Technologies and Applications",", 2023","","https://scholar.google.com/citations?user=kWDOTCUAAAAJ&hl=en&oi=ao","2023"
"Understanding Large-Scale Network Effects in Detecting Review Spammers","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&cstart=20&pagesize=80&citation_for_view=kWDOTCUAAAAJ:iH-uZ7U-co4C","JK Rout, KS Sahoo, A Dalmia, S Bakshi, M Bilal, H Song","IEEE Transactions on Computational Social Systems",", 2023","","https://scholar.google.com/citations?user=kWDOTCUAAAAJ&hl=en&oi=ao","2023"
"A Deep Learning based Approach to Stock Market Price Prediction using Technical indicators","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&cstart=20&pagesize=80&citation_for_view=kWDOTCUAAAAJ:k_IJM867U9cC","N Parida, BK Balabantaray, R Nayak, JK Rout","2023 International Conference on Advances in Intelligent Computing and …",", 2023","","https://scholar.google.com/citations?user=kWDOTCUAAAAJ&hl=en&oi=ao","2023"
"A Multi-Linguistic Fake news detector on Hindi, Marathi and Telugu","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&cstart=20&pagesize=80&citation_for_view=kWDOTCUAAAAJ:isC4tDSrTZIC","CB Thaokar, M Rathod, S Ahmed, JK Rout, M Rout","2022 OITS International Conference on Information Technology (OCIT), 324-329",", 2022","","https://scholar.google.com/citations?user=kWDOTCUAAAAJ&hl=en&oi=ao","2022"
"A Study on Performance Comparison of Algorithms for Detecting the Flooding DDoS Attack","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&cstart=20&pagesize=80&citation_for_view=kWDOTCUAAAAJ:TFP_iSt0sucC","PR Pardhi, JK Rout, NK Ray","2022 OITS International Conference on Information Technology (OCIT), 433-438",", 2022","","https://scholar.google.com/citations?user=kWDOTCUAAAAJ&hl=en&oi=ao","2022"
"IFChatbot: Convolutional Neural Network based chatbot for Image Forgery Detection and Localization","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&cstart=20&pagesize=80&citation_for_view=kWDOTCUAAAAJ:4JMBOYKVnBMC","N Manna, S Kumar, R Kakar, S Nayak, JK Rout, BK Balabantaray","2022 IEEE India Council International Subsections Conference (INDISCON), 1-6",", 2022","","https://scholar.google.com/citations?user=kWDOTCUAAAAJ&hl=en&oi=ao","2022"
"Survey on Natural Language-Based Person Search","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&cstart=20&pagesize=80&citation_for_view=kWDOTCUAAAAJ:_Qo2XoVZTnwC","S Sarangi, JK Rout","Cognitive Informatics and Soft Computing: Proceeding of CISC 2021, 609-617",", 2022","","https://scholar.google.com/citations?user=kWDOTCUAAAAJ&hl=en&oi=ao","2022"
"Exploring Historical Stock Price Movement from News Articles Using Knowledge Graphs and Unsupervised Learning","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&cstart=20&pagesize=80&citation_for_view=kWDOTCUAAAAJ:mB3voiENLucC","A Jain, B Chakrabarti, Y Upmon, JK Rout","Intelligent Data Engineering and Analytics: Proceedings of the 9th …",", 2022","","https://scholar.google.com/citations?user=kWDOTCUAAAAJ&hl=en&oi=ao","2022"
"Hybrid Approach to Prevent Accidents at Railway: An Assimilation of Big Data, IoT and Cloud","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&cstart=20&pagesize=80&citation_for_view=kWDOTCUAAAAJ:hC7cP41nSMkC","S Swain, JK Rout, KS Sahoo","Advances in Machine Learning for Big Data Analysis, 189-222",", 2022","","https://scholar.google.com/citations?user=kWDOTCUAAAAJ&hl=en&oi=ao","2022"
"IoT-Enabled Smart Dustbin","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&cstart=20&pagesize=80&citation_for_view=kWDOTCUAAAAJ:e5wmG9Sq2KIC","S Nayak, A Narayan, JK Rout","IoT-Based Smart Waste Management for Environmental Sustainability, 99-120",", 2022","","https://scholar.google.com/citations?user=kWDOTCUAAAAJ&hl=en&oi=ao","2022"
