"article","link","contributors","about","year","cited","addonlinks","year"
"Grid Scheduling using PSO with Naive Crossover","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&cstart=20&pagesize=80&citation_for_view=2HsF-ogAAAAJ:qjMakFHDy7sC","V Singh, D Singh, S Swarup","International Journal of Computer Applications 975, 8887",", 2011","1","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15079336239519344287","2011"
"Accelerating the Prediction of Anti-cancer Peptides Using Integrated Feature Descriptors and XGBoost","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&cstart=20&pagesize=80&citation_for_view=2HsF-ogAAAAJ:PELIpwtuRlgC","D Singh, P Garg, A Shukla","Key Digital Trends Shaping the Future of Information and Management Science …",", 2023","","https://scholar.google.com/citations?user=2HsF-ogAAAAJ&hl=en&oi=ao","2023"
"Identifying the Impact of Crime in Indian Jail Prison Strength with Statical Measures","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&cstart=20&pagesize=80&citation_for_view=2HsF-ogAAAAJ:olpn-zPbct0C","SS kshatri, D Singh","Machine Learning and Computational Intelligence Techniques for Data …",", 2023","","https://scholar.google.com/citations?user=2HsF-ogAAAAJ&hl=en&oi=ao","2023"
"Student Engagement Prediction in MOOCs Using Deep Learning","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&cstart=20&pagesize=80&citation_for_view=2HsF-ogAAAAJ:AXPGKjj_ei8C","N Ahmad, Z Khan, D Singh","2023 International Conference on Emerging Smart Computing and Informatics …",", 2023","","https://scholar.google.com/citations?user=2HsF-ogAAAAJ&hl=en&oi=ao","2023"
"Predicting Risky Environment for Child Inside House using Deep Learning","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&cstart=20&pagesize=80&citation_for_view=2HsF-ogAAAAJ:5ugPr518TE4C","N Ahmad, S Arya, D Singh","2023 International Conference on Emerging Smart Computing and Informatics …",", 2023","","https://scholar.google.com/citations?user=2HsF-ogAAAAJ&hl=en&oi=ao","2023"
"Multiview deep learning-based attack to break text-CAPTCHAs","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&cstart=20&pagesize=80&citation_for_view=2HsF-ogAAAAJ:M3NEmzRMIkIC","MO Yusuf, D Srivastava, D Singh, VS Rathor","International Journal of Machine Learning and Cybernetics 14 (3), 959-972",", 2023","","https://scholar.google.com/citations?user=2HsF-ogAAAAJ&hl=en&oi=ao","2023"
"Using Deep Transfer Learning to Predict Student Engagement in Online Courses","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&cstart=20&pagesize=80&citation_for_view=2HsF-ogAAAAJ:blknAaTinKkC","N Ahmad, A Gupta, D Singh","Machine Learning, Image Processing, Network Security and Data Sciences: 4th …",", 2023","","https://scholar.google.com/citations?user=2HsF-ogAAAAJ&hl=en&oi=ao","2023"
"Introduction to statistical modeling in machine learning: a case study","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&cstart=20&pagesize=80&citation_for_view=2HsF-ogAAAAJ:hMod-77fHWUC","SS Kshatri, D Singh, T Goswami, GR Sinha","Statistical Modeling in Machine Learning, 1-21",", 2023","","https://scholar.google.com/citations?user=2HsF-ogAAAAJ&hl=en&oi=ao","2023"
"Mental Task Classification Using Deep Transfer Learning with Random Forest Classifier","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&cstart=20&pagesize=80&citation_for_view=2HsF-ogAAAAJ:YOwf2qJgpHMC","SS Kshatri, D Singh, MK Chandrakar, GR Sinha","International Journal of Biomedical and Clinical Engineering (IJBCE) 11 (1 …",", 2022","","https://scholar.google.com/citations?user=2HsF-ogAAAAJ&hl=en&oi=ao","2022"
"Multiple aggregation model using Ensembles Classifier for feature selection: A Homogeneous Approach","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&cstart=20&pagesize=80&citation_for_view=2HsF-ogAAAAJ:ULOm3_A8WrAC","SS Kshatri, D Singh, DS Sisodia","2021 IEEE International Conference on Technology, Research, and Innovation …",", 2021","","https://scholar.google.com/citations?user=2HsF-ogAAAAJ&hl=en&oi=ao","2021"
"Tolerance Satisfiability Sequences for Image Similarity","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&cstart=20&pagesize=80&citation_for_view=2HsF-ogAAAAJ:3fE2CSJIrl8C","M Sajwan, D Singh, VS Rathor, S Singh","2020 2nd International Conference on Advances in Computing, Communication …",", 2020","","https://scholar.google.com/citations?user=2HsF-ogAAAAJ&hl=en&oi=ao","2020"
"Genetic Algorithm Based Pre-Processing Strategy for High Dimensional Micro-Array Gene Classification: Application of Nature Inspired Intelligence","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&cstart=20&pagesize=80&citation_for_view=2HsF-ogAAAAJ:W7OEmFMy1HYC","D Singh, DS Sisodia, P Singh","Nature-Inspired Algorithms for Big Data Frameworks, 22-46",", 2019","","https://scholar.google.com/citations?user=2HsF-ogAAAAJ&hl=en&oi=ao","2019"
"Grid Scheduling Using PSO with Linear Crossover","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&cstart=20&pagesize=80&citation_for_view=2HsF-ogAAAAJ:UeHWp8X0CEIC","V Singh, D Singh, R Tiwari, A Shukla","IERI Communications Letters 1 (1), 57",", 2012","","https://scholar.google.com/citations?user=2HsF-ogAAAAJ&hl=en&oi=ao","2012"
